S.No.,Heater Current (mA),Thermo e.m.f (mV),Temp (C),Corrected Hall Voltage (mV),Hall coefficient (X103)(cm3.coulomb-1),Carrier_conc
1,0,0,20,50.8,1.97819314641745,3.15944881889764E+018
2,200,0.14,23.5,49,1.90809968847352,3.27551020408163E+018
3,300,0.32,28,48.6,1.89252336448598,3.30246913580247E+018
4,400,0.59,34.8,47,1.83021806853583,3.41489361702128E+018
5,500,0.98,44.8,43.9,1.7095015576324,3.65603644646925E+018
6,550,1.14,48.5,38.9,1.51479750778816,4.12596401028278E+018
7,600,1.4,55,34,1.32398753894081,4.72058823529412E+018
8,650,1.64,60.8,27.5,1.0708722741433,5.83636363636364E+018
9,700,1.91,67.2,19.2,0.747663551401869,8.359375E+018
10,750,2.1,72,14.8,0.576323987538941,1.08445945945946E+019
11,800,2.43,80,4.9,0.190809968847352,3.27551020408163E+019
12,850,2.69,86.2,3.1,0.120716510903427,5.17741935483871E+019
13,900,2.98,93.2,0.2,0.007788161993769,8.025E+020
14,1000,3.38,102.8,-2,-0.077881619937695,-8.025E+019
